Drinks_item,Calories,Fat (g),Carb. (g),Fiber (g),Protein,Sodium
Cool Lime Starbucks Refreshers™ Beverage,45.0,0.0,11.0,0.0,0.0,10.0
Ombré Pink Drink,,,,,,
Pink Drink,,,,,,
Strawberry Acai Starbucks Refreshers™ Beverage,80.0,0.0,18.0,1.0,0.0,10.0
Very Berry Hibiscus Starbucks Refreshers™ Beverage,60.0,0.0,14.0,1.0,0.0,10.0
Violet Drink,,,,,,
Evolution Fresh™ ColdPressed Apple Berry Juice,,,,,,
Evolution Fresh™ Defense Up,,,,,,
Evolution Fresh™ Organic Ginger Limeade,110.0,0.0,28.0,0.0,0.0,5.0
Iced Coffee,0.0,0.0,0.0,0.0,0.0,0.0
Iced Coffee with Milk,,,,,,
Iced Espresso Classics  Vanilla Latte,130.0,2.5,21.0,0.0,5.0,65.0
Iced Espresso Classics  Caffe Mocha,140.0,2.5,23.0,0.0,5.0,90.0
Iced Espresso Classics  Caramel Macchiato,130.0,2.5,21.0,0.0,5.0,65.0
Starbucks® Caramel Iced Coffee,,,,,,
Starbucks® Iced Coffee + Milk,,,,,,
Starbucks® Low Calorie Iced Coffee + Milk,,,,,,
Starbucks® Vanilla Iced Coffee,,,,,,
Shaken Sweet Tea,80.0,0.0,19.0,0.0,0.0,10.0
Tazo® Bottled Berry Blossom White,60.0,0.0,15.0,0.0,0.0,10.0
Tazo® Bottled Black Mango,150.0,0.0,38.0,0.0,0.0,15.0
Tazo® Bottled Black with Lemon,140.0,0.0,35.0,0.0,0.0,10.0
Tazo® Bottled Brambleberry,140.0,0.0,35.0,0.0,0.0,15.0
Tazo® Bottled Giant Peach,150.0,0.0,37.0,0.0,0.0,15.0
Tazo® Bottled Iced Passion,70.0,0.0,17.0,0.0,0.0,10.0
Tazo® Bottled Lemon Ginger,120.0,0.0,31.0,0.0,0.0,10.0
Tazo® Bottled Organic Black Lemonade,140.0,0.0,35.0,0.0,0.0,10.0
Tazo® Bottled Organic Iced Black Tea,60.0,0.0,15.0,0.0,0.0,10.0
Tazo® Bottled Organic Iced Green Tea,120.0,0.0,31.0,0.0,0.0,10.0
Tazo® Bottled Plum Pomegranate,140.0,0.0,35.0,0.0,0.0,10.0
Tazo® Bottled Tazoberry,150.0,0.0,38.0,0.0,0.0,15.0
Tazo® Bottled White Cranberry,140.0,0.0,35.0,0.0,0.0,10.0
Teavana® Shaken Iced Black Tea,30.0,0.0,8.0,0.0,0.0,5.0
Teavana® Shaken Iced Black Tea Lemonade,70.0,0.0,17.0,0.0,0.0,0.0
Teavana® Shaken Iced Green Tea,30.0,0.0,8.0,0.0,0.0,5.0
Teavana® Shaken Iced Green Tea Lemonade,70.0,0.0,17.0,0.0,0.0,5.0
Teavana® Shaken Iced Passion Tango™ Tea,30.0,0.0,8.0,0.0,0.0,5.0
Teavana® Shaken Iced Passion Tango™ Tea Lemonade,90.0,0.0,24.0,0.0,0.0,0.0
Teavana® Shaken Iced Peach Green Tea,60.0,0.0,15.0,0.0,0.0,0.0
Iced Espresso Classics  Vanilla Latte,130.0,2.5,21.0,0.0,5.0,65.0
Iced Espresso Classics  Caffe Mocha,140.0,2.5,23.0,0.0,5.0,90.0
Iced Espresso Classics  Caramel Macchiato,130.0,2.5,21.0,0.0,5.0,65.0
Iced Espresso Classics  Skinny Caramel Macchiato,,,,,,
Iced Espresso Classics  Skinny Vanilla Latte,,,,,,
Starbucks Doubleshot® Energy Coffee Drink,,,,,,
Starbucks Doubleshot® Energy Mexican Mocha,,,,,,
Starbucks Doubleshot® Energy Mocha Drink,,,,,,
Starbucks Doubleshot® Energy Vanilla Drink,,,,,,
Starbucks Doubleshot® Energy White Chocolate Drink,,,,,,
Starbucks Doubleshot® Energy+Cinnamon Dolce Drink,,,,,,
Starbucks Doubleshot® Espresso Cubano,,,,,,
Starbucks Doubleshot® Espresso Drink,,,,,,
Starbucks Doubleshot® Espresso Salted Caramel Cream,,,,,,
Starbucks Doubleshot® Light Espresso Drink,,,,,,
Starbucks Doubleshot® Protein Caramel,,,,,,
Starbucks Refreshers™ Raspberry Pomegranate,90.0,0.0,27.0,0.0,0.0,0.0
Starbucks Refreshers™ Strawberry Lemonade,90.0,0.0,27.0,0.0,0.0,0.0
Starbucks® Bottled Caramel Frappuccino® Coffee Drink,,,,,,
Starbucks® Bottled Coffee Frappuccino® Coffee Drink,,,,,,
"Starbucks® Bottled Cold Brew Black, Unsweetened",,,,,,
Starbucks® Bottled Cold Brew Cocoa and Honey with Cream,,,,,,
Starbucks® Bottled Dulce de Leche Frappuccino® Coffee Drink,,,,,,
Starbucks® Bottled Mocha Frappuccino® Coffee Drink,,,,,,
Starbucks® Bottled Mocha Light Frappuccino® Coffee Drink,,,,,,
Starbucks® Bottled S'mores Frappuccino® Coffee Drink,,,,,,
Starbucks® Bottled Vanilla Frappuccino® Coffee Drink,,,,,,
Starbucks® Bottled Vanilla Light Frappuccino® Coffee Drink,,,,,,
Starbucks® Caramel Iced Coffee,,,,,,
Starbucks® Doubleshot Protein Dark Chocolate,210.0,2.5,33.0,2.0,20.0,115.0
Starbucks® Doubleshot Protein Vanilla,200.0,2.5,34.0,2.0,20.0,120.0
Starbucks® Iced Coffee + Milk,,,,,,
Starbucks® Iced Coffee Caramel,60.0,0.0,13.0,0.0,1.0,0.0
Starbucks® Iced Coffee Light Sweetened,50.0,0.0,11.0,0.0,1.0,0.0
Starbucks® Iced Coffee Unsweetened,10.0,0.0,2.0,0.0,1.0,0.0
Starbucks® Low Calorie Iced Coffee + Milk,,,,,,
Starbucks® Refreshers™  Black Cherry Limeade with Coconut Water,,,,,,
Starbucks® Vanilla Iced Coffee,,,,,,
Tazo® Bottled Berry Blossom White,60.0,0.0,15.0,0.0,0.0,10.0
Tazo® Bottled Black Mango,150.0,0.0,38.0,0.0,0.0,15.0
Tazo® Bottled Black with Lemon,140.0,0.0,35.0,0.0,0.0,10.0
Tazo® Bottled Brambleberry,140.0,0.0,35.0,0.0,0.0,15.0
